Store_ID,Size_1,Size_2,Size_3,Size_4,Size_5,Size_6
1,0,0,0,2,4,12
2,4,5,5,4,4,0
3,0,0,0,2,4,6
4,0,0,0,1,5,4
5,0,0,2,0,1,2
6,0,0,0,2,0,2
7,5,2,2,0,0,0
8,0,0,3,3,4,6
9,0,2,2,4,10,1
10,0,2,4,7,1,0
11,2,4,4,0,0,0
12,10,5,6,1,0,0
13,1,2,5,2,4,0
14,0,0,0,0,1,4
15,0,0,0,1,5,2
16,0,1,0,2,1,1
17,3,2,9,2,3,0
18,0,0,6,5,7,2
19,0,3,9,3,2,0
20,0,0,0,2,2,4
21,8,4,2,1,0,0
22,0,0,0,3,3,0
23,0,0,0,3,2,6
24,0,1,2,2,1,2
25,2,4,3,1,1,0
26,0,0,0,4,2,2
27,0,0,1,3,2,2
28,0,0,1,2,6,9
29,0,1,3,7,4,3
30,0,0,3,4,1,2
31,0,1,7,4,0,0
32,0,0,0,1,1,1
33,1,2,3,0,0,0
34,0,3,5,10,4,1
35,7,4,2,2,0,0
36,1,0,4,11,5,4
37,0,0,0,3,7,10
38,0,2,1,2,0,0
39,0,0,0,4,8,3
40,0,1,0,3,5,3
41,0,0,0,0,3,2
42,0,0,0,0,1,7
43,0,2,0,2,7,0
44,0,0,1,4,9,5
45,1,6,2,2,0,0
46,1,2,3,4,0,0
47,0,0,0,4,2,6
48,4,7,2,0,0,0
49,2,2,3,3,1,0
50,0,0,1,4,2,3
51,3,3,5,6,1,0
52,1,0,0,3,1,2
53,0,0,4,2,7,2
54,0,0,4,5,7,7
55,2,3,3,3,0,0
56,0,5,5,2,2,1
57,4,3,1,1,0,0
58,0,0,0,1,4,2
59,0,0,0,0,3,4
60,0,0,3,7,4,2
61,2,8,1,2,0,0
62,0,0,0,2,2,3
63,0,0,5,9,6,0
64,0,0,3,3,7,0
65,0,1,4,1,1,1
66,1,4,3,0,1,0
67,1,0,1,3,3,2
68,0,0,0,4,8,12
69,0,0,0,0,1,2
70,0,0,0,5,9,11
71,4,9,7,2,0,0
72,0,1,1,3,3,3
73,0,3,3,0,1,0
74,0,0,1,4,7,5
75,0,0,0,0,7,5
76,0,0,0,7,9,7
77,2,1,5,3,2,0
78,1,5,2,0,0,0
79,0,1,8,0,0,0
80,3,2,2,0,0,0
81,0,0,0,2,5,8
82,1,11,3,1,0,0
83,0,0,0,3,4,6
84,3,0,1,1,0,0
85,3,5,7,1,0,0
86,2,2,2,5,0,0
87,0,1,5,1,4,1
88,0,0,0,2,3,4
89,0,4,7,7,3,1
90,1,0,2,5,2,0
91,0,0,0,2,3,2
92,0,0,1,5,1,0
93,0,0,0,1,4,7
94,0,1,3,5,5,2
95,0,2,4,3,3,2
96,2,3,3,2,2,0
97,5,3,5,4,0,0
98,4,2,4,1,2,0
99,1,3,1,4,2,0
100,0,0,2,3,0,2
101,0,2,3,0,1,1
102,1,3,4,4,0,0
103,2,5,4,2,0,0
104,0,0,0,1,3,5
105,2,6,7,3,1,1
106,0,1,2,3,1,0
107,0,0,1,3,2,3
108,0,0,1,2,3,6
109,0,1,3,5,2,0
110,0,0,0,2,5,4
111,0,0,0,0,3,3
112,0,1,2,0,1,0
113,0,0,0,3,5,5
114,0,0,2,6,4,2
115,2,3,3,1,0,0
116,0,0,0,0,5,7
117,0,0,1,5,7,2
118,0,0,0,4,2,0
119,0,2,5,8,2,1
120,0,0,0,1,5,8
121,2,4,5,1,0,0
122,2,3,7,9,4,1
123,0,0,3,3,4,4
124,0,0,1,3,5,0
125,0,0,0,3,1,7
126,1,2,3,7,2,1
127,0,0,0,5,5,9
128,1,2,4,4,0,0
129,0,0,0,0,1,2
130,0,0,2,1,5,1
131,0,0,2,6,6,4
132,0,0,2,5,0,2
133,0,0,0,1,4,4
134,0,0,1,3,6,9
135,0,11,7,3,4,0
136,0,0,0,2,8,2
137,2,2,3,4,1,0
138,1,5,4,2,1,0
139,0,0,0,0,9,6
140,1,2,7,3,3,1
141,3,6,3,2,1,0
142,0,0,0,1,2,2
143,1,6,6,3,0,0
144,1,0,3,4,3,3
145,3,3,0,0,0,0
146,0,1,2,1,0,0
147,0,1,3,4,3,1
148,0,1,0,1,5,2
149,1,1,7,3,1,0
150,1,6,1,2,0,0
151,0,8,2,1,1,0
152,0,0,0,3,2,0
153,0,2,2,2,0,0
154,0,0,1,3,3,3
155,0,0,2,2,6,6
156,0,0,3,3,2,2
157,0,0,0,2,5,8
158,0,4,5,2,1,0
159,0,0,0,0,2,1
160,3,4,1,1,0,0
161,2,7,3,1,0,0
162,0,0,5,5,4,1
163,0,0,0,0,7,8
164,0,0,0,4,3,7
165,0,0,0,1,3,6
166,0,3,4,6,2,5
167,1,0,2,7,1,2
168,0,0,0,4,5,1
169,0,0,1,1,3,2
170,0,0,0,2,4,12
171,3,1,3,1,0,0
172,0,1,2,5,1,0
173,0,0,0,1,6,5
