Store_ID,Size_1,Size_2,Size_3,Size_4,Size_5,Size_6
1,0,0,1,2,10,14
2,0,2,6,4,8,1
3,6,6,4,2,0,0
4,0,0,3,7,9,5
5,0,0,0,1,8,0
6,4,0,0,3,0,0
7,3,3,3,1,0,1
8,0,3,11,19,7,1
9,1,5,4,5,1,0
10,1,2,1,3,1,1
11,0,0,2,3,2,1
12,2,5,0,7,4,0
13,0,0,0,8,3,1
14,0,0,0,5,5,2
15,0,6,9,5,0,0
16,0,0,1,2,0,2
17,0,10,9,2,0,1
18,3,2,3,2,0,0
19,0,0,1,0,5,11
20,0,0,5,7,4,3
21,0,3,4,6,7,2
22,0,0,0,1,10,10
23,5,3,3,2,0,0
24,0,0,0,3,3,10
25,3,3,4,0,2,1
26,0,0,0,1,5,13
27,1,0,2,0,0,0
28,2,0,7,1,5,0
29,2,0,3,5,0,1
30,0,1,0,1,0,4
31,15,5,8,2,1,0
32,0,0,0,3,4,5
33,0,0,0,5,8,0
34,0,1,4,5,5,6
35,0,2,13,6,6,0
36,0,1,12,8,1,3
37,0,0,0,9,4,5
38,0,0,0,0,6,1
39,0,2,9,5,3,2
40,0,0,1,7,10,10
41,0,0,0,1,2,0
42,0,1,1,2,5,5
43,0,1,0,2,4,5
44,0,0,1,6,13,4
45,0,0,2,4,1,0
46,0,0,0,5,2,2
47,0,2,2,5,1,5
48,2,2,3,0,4,7
49,0,0,4,3,2,2
50,7,3,3,0,0,0
51,0,0,0,4,16,9
52,0,1,11,10,5,0
53,0,2,1,19,8,0
54,1,4,11,5,3,3
55,0,1,0,4,10,12
56,0,1,3,10,10,15
57,0,3,0,3,1,4
58,0,0,0,3,5,10
59,0,0,0,0,2,6
60,0,1,6,3,4,1
61,0,10,10,8,2,0
62,0,0,1,3,0,9
63,1,8,12,13,0,0
64,0,6,3,4,2,0
65,0,0,3,9,3,4
66,0,0,1,0,4,7
67,0,0,1,2,4,4
68,2,1,11,14,10,0
69,0,2,6,2,2,0
70,2,5,13,9,2,2
71,7,5,0,0,1,0
72,0,5,5,0,0,1
73,0,0,0,1,1,3
74,3,19,4,4,0,0
75,0,0,3,2,9,5
76,0,0,0,0,3,3
77,6,8,11,6,1,0
78,0,0,3,0,2,0
79,6,5,0,2,0,0
80,0,1,0,0,1,5
81,15,9,4,0,0,0
82,0,5,5,8,7,0
83,0,0,0,1,4,7
84,4,5,2,3,0,0
85,0,8,0,3,0,0
86,0,0,1,0,6,17
87,0,0,1,1,10,4
88,0,0,0,0,5,16
89,0,0,1,2,13,13
90,0,5,5,7,0,0
91,0,0,2,3,6,0
92,0,0,1,0,5,10
93,0,3,5,0,5,4
94,2,3,3,9,5,0
95,7,8,5,0,0,0
96,0,0,9,8,1,9
97,0,0,0,4,7,12
98,0,2,1,11,3,0
99,0,0,4,7,7,0
100,0,0,0,3,0,1
101,0,0,2,3,0,5
102,0,0,1,1,15,5
103,6,7,0,2,0,0
104,4,9,7,3,1,0
105,0,0,1,1,5,5
106,0,0,1,3,1,1
107,0,1,0,15,6,0
108,0,0,0,4,6,6
109,0,1,0,1,3,5
110,3,6,1,3,2,0
111,0,0,1,0,3,12
112,0,0,1,5,0,2
113,10,10,9,2,0,0
114,0,0,1,3,14,18
115,0,0,0,2,9,3
116,4,15,4,1,0,0
117,6,4,10,1,2,1
118,7,3,2,0,0,0
119,0,0,1,5,11,12
120,0,2,3,2,7,0
121,0,0,2,9,9,12
122,0,0,0,9,5,6
123,0,5,10,9,2,0
124,2,4,6,4,0,0
125,0,0,0,1,5,2
126,3,6,6,2,1,0
127,0,0,0,0,6,12
128,0,0,1,4,8,9
129,0,0,1,7,4,4
130,0,0,0,5,5,11
131,0,6,10,13,2,0
132,0,0,0,2,7,6
