Store_ID,Size_1,Size_2,Size_3,Size_4
1,0,5,3,1
2,0,0,7,7
3,1,3,8,1
4,0,4,3,1
5,0,0,2,12
6,0,2,3,0
7,0,1,0,4
8,0,3,7,1
9,0,11,4,4
10,0,0,5,7
11,0,1,1,2
12,2,4,6,1
13,4,4,1,0
14,0,0,0,3
15,0,0,3,5
16,1,0,1,0
17,6,8,1,0
18,0,8,7,0
19,0,1,10,11
20,0,1,1,3
21,0,0,6,4
22,0,0,0,1
23,0,0,3,6
24,0,0,2,9
25,0,1,0,7
26,0,6,6,2
27,0,0,0,5
28,0,0,0,6
29,0,0,2,11
30,3,4,3,0
31,5,13,4,0
32,2,2,0,0
33,3,10,6,0
34,0,2,9,6
35,3,13,2,0
36,0,3,6,3
37,1,10,2,0
38,0,1,1,4
39,0,5,10,5
40,0,5,3,4
41,0,2,2,2
42,0,6,0,0
43,3,4,3,0
44,0,0,6,3
45,0,0,0,6
46,2,4,3,1
47,0,5,4,6
48,0,3,2,9
49,0,10,3,0
50,3,7,2,0
51,5,6,1,0
52,2,4,4,1
53,0,3,12,0
54,0,3,0,9
55,0,0,3,5
56,1,6,2,1
57,6,3,0,0
58,0,0,3,2
59,0,6,3,0
60,3,3,0,1
61,1,6,6,3
62,1,5,5,0
63,3,16,1,0
64,0,0,5,10
65,0,0,3,2
66,0,3,7,1
67,2,2,0,0
68,0,0,2,12
69,0,3,0,1
70,0,1,6,5
71,0,3,8,5
72,0,3,2,3
73,4,1,1,0
74,0,3,2,13
75,1,2,6,5
76,0,2,4,4
77,0,0,4,10
78,0,0,6,1
79,0,0,2,17
80,0,0,4,4
81,3,10,2,0
82,3,6,4,0
83,1,11,3,0
84,0,3,7,2
85,3,4,0,0
86,0,0,5,9
87,0,2,7,7
88,2,3,1,0
89,2,10,0,4
90,0,0,4,5
91,0,0,3,9
92,0,0,2,14
93,2,12,4,0
94,2,11,3,0
95,0,0,3,4
96,1,6,3,1
97,0,0,2,5
98,2,6,6,0
99,0,0,1,1
100,4,4,0,1
101,0,0,1,7
102,3,7,1,1
103,5,6,3,0
104,0,0,14,0
105,0,3,7,7
106,0,5,2,1
107,2,0,2,1
108,1,3,1,1
109,0,3,2,7
110,1,3,0,1
111,0,0,5,5
112,0,0,2,9
113,0,9,7,4
114,2,10,1,0
115,0,0,8,17
116,3,7,3,1
117,7,9,3,0
118,0,0,2,2
119,0,1,3,1
120,1,2,6,0
121,0,10,10,2
122,8,7,5,1
123,5,8,5,0
124,0,8,1,0
125,0,0,2,7
126,1,0,3,0
127,0,3,7,0
128,0,2,16,1
129,2,5,4,1
130,9,0,0,0
131,0,0,8,8
132,0,0,2,0
133,0,0,3,1
134,1,4,3,0
135,2,9,9,2
136,0,1,4,0
137,2,0,1,0
138,0,0,0,8
139,4,4,4,0
140,0,0,4,12
141,0,0,0,17
142,0,1,4,2
143,0,10,3,0
144,4,14,1,0
145,1,2,0,0
146,0,0,5,2
147,0,6,3,0
148,0,0,2,14
149,0,2,5,1
150,0,1,0,2
151,0,6,10,0
152,1,5,7,0
153,0,1,1,6
154,0,0,9,5
155,3,3,2,1
156,0,0,2,3
157,2,6,9,3
158,10,6,1,0
159,0,0,0,7
160,0,2,6,2
161,7,13,3,0
162,0,0,12,1
163,1,5,4,2
164,6,8,5,0
165,5,0,1,0
166,0,0,4,16
167,9,0,0,0
168,7,3,0,0
169,0,0,1,7
170,1,0,3,4
171,0,8,6,0
172,0,3,0,2
173,4,9,2,1
174,2,9,0,0
175,0,0,2,15
176,0,3,1,3
177,0,0,6,13
178,5,4,0,0
179,15,2,2,1
180,1,6,2,0
181,0,0,7,7
182,0,1,3,5
183,0,0,7,7
184,4,4,5,0
185,0,1,2,2
186,0,3,4,8
187,7,9,7,0
188,0,3,0,7
189,0,3,3,6
190,1,0,0,0
191,0,1,0,8
192,8,3,2,0
193,0,8,9,4
194,1,3,8,7
195,0,5,7,3
196,0,2,2,2
197,0,0,3,2
198,0,0,4,14
199,0,0,3,15
200,0,0,1,8
201,1,4,2,0
202,0,0,2,2
203,1,12,0,0
204,0,3,9,11
205,0,1,5,6
206,2,4,2,0
207,0,0,3,1
208,0,0,3,7
209,0,0,1,1
210,0,0,2,3
211,0,0,4,9
212,0,0,0,6
213,6,0,4,0
214,1,1,4,0
215,0,0,7,1
216,0,0,1,0
217,2,15,1,0
218,0,0,5,6
219,1,10,0,2
220,0,9,4,0
221,0,0,1,12
222,0,0,3,21
223,0,4,1,1
224,0,0,3,2
225,1,4,0,0
226,0,0,0,4
227,0,0,4,9
228,0,1,1,12
229,0,1,9,12
230,3,6,3,0
231,2,1,4,2
232,0,0,1,11
233,0,0,4,12
234,4,3,0,0
235,0,1,0,5
236,1,4,4,0
237,0,1,1,6
238,0,0,1,1
239,2,7,1,1
240,0,2,1,1
241,3,4,1,0
242,0,2,5,17
243,0,0,8,2
244,2,0,3,0
245,4,1,0,0
246,0,6,11,5
247,0,1,2,13
248,0,5,1,2
249,1,3,11,1
250,0,8,12,1
251,0,0,5,2
252,3,0,2,0
253,0,4,1,13
