Store_ID,Size_1,Size_2,Size_3,Size_4
1,0,1,3,4
2,0,0,5,15
3,0,2,5,4
4,2,5,3,0
5,0,0,1,7
6,0,1,4,1
7,1,4,0,0
8,0,3,8,3
9,3,7,2,1
10,0,0,2,11
11,0,0,1,3
12,0,2,3,4
13,1,7,2,0
14,0,0,0,4
15,1,2,2,0
16,0,0,0,5
17,0,2,4,7
18,0,0,7,1
19,1,4,2,3
20,2,5,1,1
21,2,3,2,0
22,2,6,2,0
23,4,2,2,0
24,1,3,2,0
25,0,5,4,0
26,0,0,0,6
27,0,0,3,2
28,0,0,2,5
29,0,7,7,1
30,2,1,0,0
31,0,4,9,4
32,2,4,0,1
33,0,1,1,0
34,3,5,5,0
35,3,7,1,0
36,0,0,4,5
37,0,1,2,8
38,0,0,5,0
39,2,5,2,2
40,0,0,4,8
41,0,0,1,8
42,2,6,2,0
43,1,0,0,0
44,0,2,0,8
45,2,2,1,0
46,0,6,5,1
47,0,2,5,2
48,0,2,2,4
49,0,1,5,0
50,0,1,4,3
51,0,0,6,10
52,0,6,3,1
53,0,0,3,14
54,0,0,0,8
55,1,3,3,3
56,0,0,3,15
57,0,0,3,4
58,3,0,0,0
59,0,0,1,0
60,0,0,5,7
61,0,1,3,2
62,0,1,0,0
63,7,12,3,1
64,2,2,4,1
65,2,4,0,0
66,0,0,2,10
67,4,3,2,0
68,10,6,2,0
69,0,1,0,4
70,3,6,7,0
71,0,1,2,12
72,0,2,4,4
73,0,3,3,0
74,0,0,3,12
75,0,2,4,2
76,1,4,1,0
77,3,4,5,1
78,0,0,0,2
79,0,3,2,1
80,0,0,3,1
81,0,0,5,14
82,0,3,4,2
83,2,5,10,2
84,3,3,2,0
85,0,0,4,10
86,0,2,2,2
87,0,4,8,2
88,3,7,3,0
89,4,9,1,0
90,5,3,3,0
91,0,0,1,9
92,0,0,3,14
93,0,5,5,1
94,0,0,3,8
95,3,7,0,0
96,0,1,6,9
97,0,0,2,6
98,2,4,2,0
99,0,0,3,5
100,3,0,1,0
101,0,1,5,0
102,1,3,4,1
103,3,3,3,0
104,0,0,3,6
105,0,0,6,5
106,0,0,2,6
107,6,8,4,1
108,0,1,5,9
109,1,1,2,0
110,0,2,4,0
111,0,0,3,5
112,0,0,2,4
113,1,3,2,1
114,0,0,1,10
115,0,1,3,12
116,3,10,1,0
117,0,1,4,7
118,1,0,1,1
119,1,3,7,4
120,0,0,0,4
121,0,0,5,12
122,0,1,6,10
123,4,4,4,1
124,2,3,1,0
125,1,2,4,0
126,0,0,1,7
127,0,1,4,13
128,0,2,4,6
129,0,0,2,6
130,0,1,7,4
131,0,1,1,12
132,0,0,4,3
133,0,1,0,5
134,0,3,2,1
135,0,0,4,11
136,0,3,3,1
137,1,5,3,1
138,3,5,2,0
139,0,2,1,0
140,0,1,1,12
141,0,1,11,5
142,1,2,1,0
143,0,1,3,5
144,3,3,2,0
145,0,3,2,3
146,0,0,2,3
147,0,0,4,1
148,1,3,3,1
149,0,0,1,3
150,2,2,3,0
151,1,2,5,2
152,2,5,1,0
153,1,5,0,0
154,1,4,0,0
155,1,7,3,1
156,0,1,3,1
157,3,2,1,0
158,0,0,3,12
159,2,2,0,0
160,3,6,3,0
161,3,7,2,0
162,0,0,5,7
163,3,5,0,0
164,3,3,4,2
165,0,0,2,6
166,0,4,5,3
167,1,2,8,3
168,1,3,0,0
