Store_ID,Size_1,Size_2,Size_3,Size_4,Size_5,Size_6
1,0,0,3,2,4,10
2,1,7,9,3,2,0
3,0,0,1,6,7,1
4,3,6,4,4,6,0
5,0,0,0,5,7,0
6,0,0,0,3,2,11
7,0,0,0,1,4,4
8,0,4,3,12,7,3
9,4,3,7,3,2,0
10,0,0,1,3,5,8
11,0,1,1,2,1,3
12,2,7,9,4,0,0
13,0,0,7,6,3,2
14,0,0,1,1,2,5
15,0,0,0,1,8,7
16,3,1,3,1,0,0
17,0,0,2,2,5,1
18,0,0,1,3,9,2
19,0,1,4,5,4,1
20,4,4,4,1,0,0
21,0,0,0,0,8,10
22,3,5,6,0,0,0
23,0,3,0,3,0,0
24,0,2,5,5,5,3
25,0,0,1,4,9,3
26,0,0,0,3,6,8
27,0,0,2,3,2,0
28,0,0,1,3,4,12
29,0,0,1,2,3,8
30,0,0,0,1,2,4
31,0,1,7,9,3,0
32,0,1,2,3,2,0
33,3,0,2,0,0,0
34,5,12,1,1,1,0
35,1,2,11,7,3,2
36,4,6,5,4,0,0
37,4,4,9,1,2,0
38,0,0,0,0,2,5
39,0,0,3,6,9,2
40,0,3,3,7,2,3
41,0,0,0,0,4,8
42,0,0,0,2,4,7
43,5,8,1,0,1,0
44,4,10,8,1,0,0
45,1,2,2,1,1,0
46,2,3,4,6,6,2
47,0,0,1,6,7,2
48,0,0,5,6,4,2
49,0,1,4,6,5,6
50,0,2,2,0,0,0
51,2,5,7,14,5,2
52,0,0,1,4,6,14
53,0,1,10,11,8,2
54,0,0,0,1,4,15
55,0,1,5,6,3,2
56,0,4,9,11,2,1
57,0,0,2,4,0,0
58,0,0,0,0,6,4
59,2,1,2,1,0,0
60,0,0,3,5,8,3
61,0,0,0,0,2,7
62,2,1,3,0,0,0
63,0,0,2,3,12,10
64,1,2,4,3,1,0
65,2,0,3,1,0,0
66,2,7,3,1,1,0
67,1,3,1,2,1,0
68,0,0,3,6,6,4
69,0,0,0,2,5,6
70,0,0,1,7,4,15
71,2,1,9,0,2,0
72,3,1,1,2,0,0
73,0,0,0,2,5,5
74,4,12,6,4,0,0
75,7,4,3,2,1,0
76,0,1,5,2,4,4
77,5,5,3,3,0,0
78,0,0,1,4,4,4
79,0,0,1,9,6,4
